"Coverage","Clustering","Count","CountFreeSandG"
"55","90","20","0.07575757575757576"
"55","100","31","0.11654135338345864"
"60","0","0","0"
"60","10","0","0"
"60","20","5","0.02040816326530612"
"60","30","1","0.004273504273504274"
"60","40","4","0.01652892561983471"
"60","50","7","0.028455284552845527"
"60","60","9","0.033707865168539325"
"60","70","9","0.03529411764705882"
"60","80","6","0.024"
"60","90","9","0.03488372093023256"
"60","100","6","0.025210084033613446"
"65","0","0","0"
"65","10","0","0"
"65","20","0","0"
"65","30","1","0.004424778761061947"
"65","40","1","0.004484304932735426"
"65","50","1","0.00425531914893617"
"65","60","1","0.004484304932735426"
"65","70","3","0.013215859030837005"
"65","80","2","0.009216589861751152"
"65","90","2","0.008695652173913044"
"65","100","1","0.0043859649122807015"
"70","0","0","0"
"70","10","0","0"
"70","20","0","0"
"70","30","0","0"
"70","40","0","0"
"70","50","0","0"
"70","60","1","0.004629629629629629"
"70","70","0","0"
"70","80","0","0"
"70","90","1","0.004484304932735426"
"70","100","2","0.008733624454148471"
"75","0","0","0"
"75","10","0","0"
"75","20","0","0"
"75","30","0","0"
"75","40","0","0"
"75","50","0","0"
"75","60","0","0"
"75","70","1","0.00510204081632653"
"75","80","0","0"
"75","90","0","0"
"75","100","0","0"
"80","0","0","0"
"80","10","0","0"
"80","20","0","0"
"80","30","0","0"
"80","40","0","0"
"80","50","0","0"
"80","60","0","0"
"80","70","0","0"
"80","80","0","0"
"80","90","0","0"
"80","100","0","0"
"85","0","0","0"
"85","10","0","0"
"85","20","0","0"
"85","30","0","0"
"85","40","0","0"
"85","50","0","0"
"85","60","0","0"
"85","70","0","0"
"85","80","0","0"
"85","90","0","0"
"85","100","0","0"
"90","0","0","0"
"90","10","0","0"
"90","20","0","0"
"90","30","0","0"
"90","40","0","0"
"90","50","0","0"
"90","60","0","0"
"90","70","0","0"
"90","80","0","0"
"90","90","0","0"
"90","100","0","0"
"95","0","0","0"
"95","10","0","0"
"95","20","0","0"
"95","30","0","0"
"95","40","0","0"
"95","50","0","0"
"95","60","0","0"
"95","70","0","0"
"95","80","0","0"
"95","90","0","0"
"95","100","0","0"
"100","0","0","0"
"100","10","0","0"
"100","20","0","0"
"100","30","0","0"
"100","40","0","0"
"100","50","0","0"
"100","60","0","0"
"100","70","0","0"
"100","80","0","0"
"100","90","0","0"
"100","100","0","0"
