"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded"
"Map 29","ThetaStar","27.508992","9.548032","284.0377576351166","260.07820413132424","3910"
"Map 30","ThetaStar","49.664","10.147072","283.7288591861725","151.30119942182057","3797"
"Map 31","ThetaStar","37.214208","6.79296","283.57300770282745","103.31703978228053","3428"
"Map 32","ThetaStar","29.501952","5.44896","283.51448369026184","139.0473354343488","2652"
"Map 33","ThetaStar","32.551936","7.5648","284.08405470848083","232.55715461519017","3726"
"Map 35","ThetaStar","132.585984","8.577024","283.8119982481003","157.45134758854894","3737"
"Map 36","ThetaStar","28.953088","8.559872","284.1649080514908","277.3756738598272","4505"
"Map 38","ThetaStar","33.165824","6.19392","283.45844078063965","132.31145146164178","2962"
"Map 39","ThetaStar","30.403072","4.29696","283.5156743526459","121.35296163010736","2202"
"Map 40","ThetaStar","30.481152","3.929088","283.6036925315857","179.18278310354896","1954"
"Map 41","ThetaStar","27.035136","7.276032","283.8393578529358","236.26871695620483","3854"
"Map 42","ThetaStar","111.73504","10.610176","283.9279217720032","229.27337508131433","3407"
"Map 43","ThetaStar","46.83904","6.777856","283.7433819770813","196.61748290093635","2103"
"Map 44","ThetaStar","45.5488","7.867904","284.1325068473816","234.4611446247862","3842"
"Map 45","ThetaStar","32.864","3.862016","283.4909360408783","181.42492983974975","1836"
"Map 46","ThetaStar","27.763968","9.099008","284.1566526889801","248.0755989864562","4746"
"Map 48","ThetaStar","31.374848","6.942976","283.94094133377075","135.75492627353898","3594"
"Map 49","ThetaStar","33.551872","8.420864","283.74164962768555","123.6289201649366","3142"
"Map 50","ThetaStar","49.430016","16.691968","284.3507294654846","203.3588709359484","5044"
"Map 51","ThetaStar","56.054016","15.667968","283.7270097732544","178.4787576239876","2458"
"Map 52","ThetaStar","28.009216","10.607104","284.0566825866699","211.8771891243905","4597"
"Map 53","ThetaStar","28.388864","4.614144","283.6172800064087","149.00816018530756","2336"
"Map 54","ThetaStar","32.90496","8.92416","283.907621383667","306.06092983030993","4095"
"Map 55","ThetaStar","28.879104","6.074112","283.82345247268677","155.90747047688473","3047"
"Map 56","ThetaStar","41.108992","9.174016","283.92761051654816","212.74642276644718","3654"
"Map 57","ThetaStar","54.05184","7.303936","283.8211843967438","210.43067927390624","2912"
"Map 58","ThetaStar","31.044864","7.088896","283.64649415016174","102.42357649041183","2610"
"Map 59","ThetaStar","29.798144","5.396992","283.61138010025024","103.54471669337302","2803"
"Map 60","ThetaStar","29.065984","9.369856","283.96109557151794","253.60720330209688","4729"
"Map 62","ThetaStar","42.11584","10.948096","283.91577434539795","155.2013401924891","3475"
"Map 63","ThetaStar","34.205952","10.221056","283.8660583496094","179.99940637603527","3871"
"Map 65","ThetaStar","42.695936","3.142912","283.1961479187012","56.47706680575838","1420"
"Map 66","ThetaStar","29.334016","6.625024","283.6850904226303","176.43946546007427","3330"
"Map 67","ThetaStar","27.494912","7.128832","284.0899746417999","191.81749927014945","3713"
"Map 69","ThetaStar","27.597824","4.809984","283.22261929512024","86.63260806176997","2029"
"Map 70","ThetaStar","27.316992","7.364096","283.98822569847107","137.44653735803257","3780"
"Map 71","ThetaStar","27.448064","6.408192","283.7657597064972","160.7299281709578","2927"
"Map 72","ThetaStar","27.337984","9.113088","283.96594643592834","193.83368664492022","3842"
"Map 73","ThetaStar","29.140992","4.678144","283.360071182251","133.54406283139218","2307"
"Map 74","ThetaStar","33.042944","6.930176","283.8700429201126","195.98553527120526","3558"
"Map 76","ThetaStar","28.733952","8.940032","284.17418670654297","151.24673643836795","4682"
"Map 77","ThetaStar","29.96096","7.162112","284.0168868303299","196.29884477256567","3843"
"Map 79","ThetaStar","27.153152","7.838976","284.187909245491","204.0842380419556","4056"
"Map 80","ThetaStar","31.614976","6.267136","283.8516124486923","218.181913276491","3314"
"Map 81","ThetaStar","29.470208","7.085056","283.80560779571533","229.26245071236804","3663"
"Map 82","ThetaStar","29.620992","5.6","283.72003185749054","155.75711742854793","2865"
"Map 84","ThetaStar","39.684096","8.707072","283.9214543104172","205.42281104364238","3285"
"Map 85","ThetaStar","29.82912","5.99296","283.8997058868408","178.12356484637405","2576"
